Date (GMT),Facebook Page,Post ID,Post Permalink,Post Type,Post Message,Tags,Reactions,Comments,Shares,Ow.ly Clicks
2018-04-11 05:05:14,Eyewatch - Ballarat Police Service Area,103131960018479_645972645734405,https://www.facebook.com/eyewatchballarat/posts/645972645734405,Photo,Rockwood Police are seeking assistance from the community regarding the theft of a caravan that occurred in Dereel between 31/3/18 and 07/04/2018. The correct registration of the van is W32024. Anyone with information regarding the theft of the caravan or its location are asked to contact the Rockwood Police on (03) 53 461 342 contact Crime Stoppers on 1800333000 or report online at; www.crimestoppersvic.com.au/report-a-crime/ Please be sure to use reference number# 'Ballarat Warrant 029/18 Caravan'.,,3,0,8,
2018-04-11 06:25:03,Eyewatch - Greater Shepparton Police Service Area,349554451900294_770575033131565,https://www.facebook.com/eyewatchgreatershepparton/posts/770575033131565:0,Photo,"FILL IN THE MISSING GAP.   No. 82  ______________ Street, Shepparton.  Letterbox found in South Shepparton and handed into police last night.  If we can fill in the gap it can be returned home.  Further information to First Constable Murphy at Shepparton Police Station 0358205777.",,15,9,20,
2018-04-11 06:56:30,Eyewatch - Ballarat Police Service Area,103131960018479_646004755731194,https://www.facebook.com/eyewatchballarat/posts/646004755731194,Photo,Rokewood Police are seeking assistance from the community regarding the theft of a caravan that occurred in Dereel between 31/3/18 and 07/04/2018. The correct registration of the van is W32024. Anyone with information regarding the theft of the caravan or its location is asked to contact the Rokewood Police on (03) 53 461 342 contact Crime Stoppers on 1800333000 or report online at; www.crimestoppersvic.com.au/report-a-crime/ Please be sure to use reference number# 'Ballarat Warrant 029/18 Caravan'.,,13,0,52,
2018-04-11 08:00:16,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1662667870491438,https://www.facebook.com/eyewatchgreaterdandenong/posts/1662667870491438:0,Photo,"At approximately 7pm yesterday Greater Dandenong Highway Patrol intercepted a vehicle on Princes Highway, Dandenong after the driver had just visited the Dandenong Police Station.  The Holden Commodore was displaying false plates and was unregistered.  The driver, a 47 year old male from Carrum Downs was also unlicensed after a previous drug driving offence.  A preliminary oral fluid test was conducted and the driver went positive for having drugs in his system.  He will be summonsed to appear before the Dandenong Magistrates' Court in due course.  vp40485",,35,13,3,
2018-04-11 11:28:56,Eyewatch - Latrobe Police Service Area,131624007022562_860368170814805,https://www.facebook.com/eyewatchlatrobe/posts/860368170814805,Status,"************SHAUN WEST ARRESTED************  Shaun WEST has been arrested and the investigation is now proceeding to the next stage. Police would like to thank everyone who provided information in relation to tracking down Shaun, even though several lines of inquiry were of no value.  He was not in Askaban!  Thanks for your help, everyone.",,141,46,24,
2018-04-11 22:52:41,Eyewatch - Greater Shepparton Police Service Area,349554451900294_770870663102002,https://www.facebook.com/eyewatchgreatershepparton/posts/770870663102002:0,Photo,"APPEAL FOR WITNESSES  Did you witness an ugly incident at the intersection of Brauman St and Numurkah Road Shepparton at approximately 5.30pm back on Saturday 3rd February, 2018?  To these witnesses it may have looked like a road rage incident.  Parties left two vehicles while stationary at the intersection and had a violent confrontation.  Vehicles not involved were also at the intersection and witnessed what took place.  All involved parties actually knew each other. The image is similar to one of the involved vehicles.  So police would still like to speak to any of the witnesses inside the other vehicles not involved in the altercation.    If you witnessed the incident we would still like to speak to you, please contact First Constable Williams at Shepparton on 0358205777.",,9,0,19,
2018-04-11 23:35:18,Eyewatch - Melton Police Service Area,1248280898517925_1883307998348542,https://www.facebook.com/eyewatchmelton/posts/1883307998348542:0,Photo,Are you interested in volunteering your time to help someone in need? If you have any questions in relation to this please e-mail MELTON.UNI@police.vic.gov.au or go to  http://blazeaid.com.au/cobden 2018,,16,4,25,
2018-04-12 04:38:32,Eyewatch - Cardinia Police Service Area,1755954881336663_1977424755856340,https://www.facebook.com/eyewatchcardinia/posts/1977424755856340:0,Photo,Police are appealing for the public's assistance to help locate 28 year old Troy ROSEBY.  Troy is wanted by police for an outstanding warrant after failing to appear before the Melbourne County Court in February.  Troy is known to frequent the Pakenham and Bendigo areas.  Anyone who has any information in relation to Troy's whereabouts is asked to contact Crime Stoppers on 1800 333 000 or www.crimestoppersvic.com.au  vp40485,,9,6,50,
2018-04-12 04:45:03,Eyewatch - Latrobe Police Service Area,131624007022562_860715357446753,https://www.facebook.com/eyewatchlatrobe/posts/860715357446753:0,Photo,Lets Play Guess the Police Officer,,14,6,0,
2018-04-12 04:59:27,Eyewatch - Melton Police Service Area,1248280898517925_1883531364992872,https://www.facebook.com/eyewatchmelton/posts/1883531364992872:0,Photo,"School holidays was a great opportunity to catch up with younger members of our community.  Keep an eye out for next month's Coffee with a Cop, we would love to see you there.",,14,0,0,
2018-04-12 05:05:44,Eyewatch - Latrobe Police Service Area,131624007022562_860721480779474,https://www.facebook.com/eyewatchlatrobe/posts/860721480779474,Photo,"Latrobe Proactive Unit spent a day with the Leongatha Community in support for them after an traumatic incident that occurred in full view from the Woorayl Lodge Aged care  front window.   First Constable Tom O'Day & Leading Senior Constable Jeni Bennett manned the Police Van and Visited the lodge for some reassurance.  A big happy birthday for their darling resident Evelyn turning 105 years old, was given one our wonderful volunteers, hand made teddy bears.",,93,12,8,
2018-04-12 05:18:30,Eyewatch - Latrobe Police Service Area,131624007022562_860724847445804,https://www.facebook.com/eyewatchlatrobe/posts/860724847445804,Photo,"While Lardner Park Celebrates another year of hosting Farm World, there's no show without the Victoria Police popping along in the amazing portable Communications Centre to show the public a little of what we're about, and answer any questions you may like to ask and talk about Firearms safety for out wonderful farmers.  Our tiny police car and Motorcycle, with all the bells and whistles are there for the littlies and some big kids too.    We are there for the 4 days Thursday the 12th till Sunday the 15th April.",,53,2,7,
2018-04-12 05:46:16,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1663898923701666,https://www.facebook.com/eyewatchgreaterdandenong/posts/1663898923701666,Link,"Great news! We are wheelie happy to report that thanks to the power of Eyewatch we were able to return the two bikes we posted about on Monday to their rightful owner! Giant thanks to everyone for spreading the word with all the shares, comments and tags!  VP40485",,25,3,2,
2018-04-12 06:59:39,Eyewatch - Cardinia Police Service Area,1755954881336663_1977456709186478,https://www.facebook.com/eyewatchcardinia/posts/1977456709186478,Photo,Shared for our pals at Baw Baw Police Service Area - please keep an eye out for these vehicles in your travels!  vp40485,,21,2,27,
2018-04-12 07:00:11,Eyewatch - Greater Shepparton Police Service Area,349554451900294_770983303090738,https://www.facebook.com/eyewatchgreatershepparton/posts/770983303090738:0,Photo,WHO ARE THESE BLOKES?  Can you identify any of these four males?  Police would like to discuss the theft of packaged liquor from a Kialla retailer on the 15.3.2018.   Please provide any information to Senior Constable BISSETT at Shepparton Police on 0358205777.  You can also use Crimestoppers to pass on this information; check out http://crimestoppersvic.com.au,,16,17,48,
2018-04-12 08:10:06,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1663996340358591,https://www.facebook.com/eyewatchgreaterdandenong/posts/1663996340358591,Photo,"Greater Dandenong Crime Investigation Unit are investigating a robbery which occurred on Wales Street, Springvale on Monday the 26th of March 2018 at approximately 5:45pm.  It is alleged that an unknown male has approached the victim, a 58 year old female, and stolen her handbag before running towards a white vehicle which police believe is a distinctive Ford Territory.  Police have released a CCTV still of a vehicle and are asking for the public's assistance to identify the vehicle.  Police have also released  CCTV images of two males who assisted the victim after the robbery - police believe they may be able to assist with the investigation and are asking them to contact police.  If you have any information in relation to this incident please contact Crime Stoppers on 1800 333 000 or www.crimestoppersvic.com.au and quote incident number 180109728  vp40485",,11,0,8,
2018-04-12 21:52:36,Eyewatch - Greater Shepparton Police Service Area,349554451900294_771218899733845,https://www.facebook.com/eyewatchgreatershepparton/posts/771218899733845,Video,VicPol's view on outlaw motorcycle gangs and the harmful role they play in illicit drug distribution.,,6,1,1,
2018-04-12 22:23:30,Eyewatch - Cardinia Police Service Area,1755954881336663_1977775212487961,https://www.facebook.com/eyewatchcardinia/posts/1977775212487961,Video,(Post with no description),,42,6,19,
2018-04-12 22:23:43,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1664858633605695,https://www.facebook.com/eyewatchgreaterdandenong/posts/1664858633605695,Video,(Post with no description),,21,6,9,
2018-04-13 00:00:15,Eyewatch - Latrobe Police Service Area,131624007022562_861067087411580,https://www.facebook.com/eyewatchlatrobe/posts/861067087411580:0,Photo,"The Blue Ribbon Van is here at Farm World Lardner park selling various stock including the Constable T-Bears, including our Chief Commissioner 🐻 come and say hi to Crystal and Lisa",,23,0,4,
2018-04-13 00:10:16,Eyewatch - Knox Police Service Area,597550253628752_1874018605981904,https://www.facebook.com/eyewatchknox/posts/1874018605981904,Video,"If you're heading home from your holidays, avoid drowsy driving #powernap #towardszero",,6,1,3,
2018-04-13 00:15:03,Eyewatch - Knox Police Service Area,597550253628752_1874021102648321,https://www.facebook.com/eyewatchknox/posts/1874021102648321,Link,"Knox Crime Investigation Unit detectives are appealing for public assistance after two men broke into a hair salon at Wantirna South earlier this week. If you have any information, please contact Crime Stoppers on 1800 333 000 http://ow.ly/GwWp30jt1f8",,10,3,7,92
2018-04-13 01:08:37,Eyewatch - Latrobe Police Service Area,131624007022562_861089707409318,https://www.facebook.com/eyewatchlatrobe/posts/861089707409318:0,Photo,Senior Constable Kelly Hicks pretty well qualifies for our latest honoury Victoria Police Mount Branch member today at Farm World Lardner Park,,40,2,1,
2018-04-13 01:11:18,Eyewatch - Ballarat Police Service Area,103131960018479_646882998976703,https://www.facebook.com/eyewatchballarat/posts/646882998976703,Photo,"***********WARRANT WEDNESDAY********** Benjamin BOYLE is wanted by police, he is known to frequent the Ballarat area. Three warrants have been issued for the arrest of the 37 year old. BOYLE is approximately 180cm tall, thin build, blue eyes, black hair and a fair complexion. BOYLE is wanted by police relating to Burglary and driving matters. If you have any information regarding the whereabouts of BOYLE that could assist police please contact Crime Stoppers on 1800 333 000 or report online at https://www.crimestoppersvic.com.au/report-a-crime/ ***Please make sure you make reference to ‘Ballarat Eyewatch WARRANT WEDNESDAY - BOYLE 11-APR-2018***",,4,0,7,
2018-04-13 01:29:17,Eyewatch - Ballarat Police Service Area,103131960018479_646887768976226,https://www.facebook.com/eyewatchballarat/posts/646887768976226,Photo,"WARRANT WEDNESDAY SUCCESS!!!!!!!! Ballarat Police would like to inform you that we have had another successful Wednesday with 2 out of 3 posts being processed at the station over the past couple of days.  A big thank you to the community for your participation, it is much appreciated.",,74,3,3,
2018-04-13 01:42:30,Eyewatch - Melton Police Service Area,1248280898517925_1884469864899022,https://www.facebook.com/eyewatchmelton/posts/1884469864899022,Link,(Post with no description),,7,0,3,
2018-04-13 01:56:29,Eyewatch - Latrobe Police Service Area,131624007022562_861101724074783,https://www.facebook.com/eyewatchlatrobe/posts/861101724074783:0,Photo,Macy enjoying riding one of our special police horses at Farm World Larder Park,,16,0,1,
2018-04-13 02:00:00,Eyewatch - Melton Police Service Area,1248280898517925_1887480487931293,https://www.facebook.com/eyewatchmelton/posts/1887480487931293,Photo,"Now for another warrant issued, this time for Michael Lamb.  A warrant has been issued for the 65-year-old's arrest after he failed to appear in the Sunshine Magistrates Court in February to answer charges of making threats.  Anyone with information is urged to contact Crime Stoppers on 1800 333 000.",,32,187,79,
2018-04-13 02:40:47,Eyewatch - Latrobe Police Service Area,131624007022562_861113920740230,https://www.facebook.com/eyewatchlatrobe/posts/861113920740230:0,Photo,Victoria Police supporting gun safety with Spika gun safes at Farmworld,,21,2,2,
2018-04-13 02:47:20,Eyewatch - Latrobe Police Service Area,131624007022562_861115834073372,https://www.facebook.com/eyewatchlatrobe/posts/861115834073372,Status,Thankyou to the White family for supporting Spika & Vic Pol,,5,1,1,
2018-04-13 02:50:47,Eyewatch - Knox Police Service Area,597550253628752_1874127925970972,https://www.facebook.com/eyewatchknox/posts/1874127925970972:0,Photo,"***Following an arrest in Rowville on 31/03/2018 police have subsequently located an outstanding stolen quad bike at the address but have not been able to identify an owner. If you believe this belongs to you please contact Constable Lee WHITECHURCH at the Rowville Police Station, ph: 97640996.*** - A/SGT WOODBRIDGE 37159",,16,2,22,
2018-04-13 04:20:51,Eyewatch - Knox Police Service Area,597550253628752_1874184392631992,https://www.facebook.com/eyewatchknox/posts/1874184392631992,Link,"Severe weather warning – destructive winds Damaging winds of 50 to 70 km/h with gusts to around 90 km/h are forecast for the South West, North Central, Central, North East and West and South Gippsland during tonight and early Saturday in association with the first cold front. Isolated thunderstorms are possible during tonight and Saturday and wind gusts above 90 km/h are possible. The State Emergency Service advises that people should:  * Move vehicles under cover or away from trees;  * Secure or put away loose items around your house, yard and balcony;  * Keep clear of fallen power lines;  For more information, visit http://ow.ly/cAqU30jt71b",,8,3,4,27
2018-04-13 05:12:04,Eyewatch - Cardinia Police Service Area,1755954881336663_1977878789144270,https://www.facebook.com/eyewatchcardinia/posts/1977878789144270:0,Photo,"Victoria Police members within Greater Dandenong, Casey and Cardinia are dedicated to targeting Drug Traffickers and reducing the associated harm that drug use causes within the wider community.  In particular the Dandenong Frontline Tactical Unit is working tirelessly to rid the community of illicit drugs by arresting drug traffickers by conducting targeted patrols, executing search warrants, seizing their illicit drugs and confiscating the cash that is the proceeds of crime.  Recently members of the Frontline Tactical Unit whilst conducting community patrols intercepted a vehicle and seized approximately 27 grams of ICE & Cocaine. Police also seized $2100 from the offender being proceeds of crime. The offender was charged and bailed to appear before the Dandenong Magistrates Court.  If anyone has information regarding drug dealing in your area please contact crime stoppers on 1800 333 000. This can be done anonymously if needed.",,19,0,3,
2018-04-13 05:12:04,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1665224133569145,https://www.facebook.com/eyewatchgreaterdandenong/posts/1665224133569145:0,Photo,"Victoria Police members within Greater Dandenong, Casey and Cardinia are dedicated to targeting Drug Traffickers and reducing the associated harm that drug use causes within the wider community.  In particular the Dandenong Frontline Tactical Unit is working tirelessly to rid the community of illicit drugs by arresting drug traffickers by conducting targeted patrols, executing search warrants, seizing their illicit drugs and confiscating the cash that is the proceeds of crime.  Recently members of the Frontline Tactical Unit whilst conducting community patrols intercepted a vehicle and seized approximately 27 grams of ICE & Cocaine. Police also seized $2100 from the offender being proceeds of crime. The offender was charged and bailed to appear before the Dandenong Magistrates Court.  If anyone has information regarding drug dealing in your area please contact crime stoppers on 1800 333 000. This can be done anonymously if needed.",,25,4,1,
2018-04-13 05:39:55,Eyewatch - Melton Police Service Area,1248280898517925_1884629078216434,https://www.facebook.com/eyewatchmelton/posts/1884629078216434:0,Photo,"Have you seen Matthew Cleland?  Multiple warrants have been issued for the 23-year-old's arrest in relation to Theft and contravening his Community Corrections Order.  Cleland is known to frequent Melton and Brimbank Local Government Areas, specifically Melton and Deer Park.  Anyone with information is urged to contact Caroline Springs Police Station on 03 9361 4700 or Crime Stoppers on 1800 333 000.",,3,0,26,
2018-04-13 06:30:05,Eyewatch - Melton Police Service Area,1248280898517925_1884663854879623,https://www.facebook.com/eyewatchmelton/posts/1884663854879623,Status,"Now for another warrant issued, this time for Michael Lamb.  A warrant has been issued for the 65-year-old's arrest after he failed to appear in the Sunshine Magistrates Court in February to answer charges of making threats.  Anyone with information is urged to contact Crime Stoppers on 1800 333 000.",,1,1,5,
2018-04-13 07:20:04,Eyewatch - Melton Police Service Area,1248280898517925_1884695074876501,https://www.facebook.com/eyewatchmelton/posts/1884695074876501:0,Photo,"We need your help to find Andrew Sammut!  A warrant has been issued for the 39-year-old's arrest in relation to multiple charges including theft, assault and criminal damage. Sammut failed to appear in the Sunshine Magistrates Court in October 2017.   Anyone with information is urged to contact Crime Stoppers on 1800 333 000.",,5,0,25,
2018-04-13 11:35:49,Eyewatch - Frankston Police Service Area,132629380243848_956432031196908,https://www.facebook.com/eyewatchfrankston/posts/956432031196908,Link,(Post with no description),,47,23,10,
2018-04-14 01:02:40,Eyewatch - Latrobe Police Service Area,131624007022562_861547894030166,https://www.facebook.com/eyewatchlatrobe/posts/861547894030166:0,Photo,One of Victoria Police finest can’t decide whether to be a rodeo rider or join the VicPol Mounted Branch Acting Sergeant Mark Hyrnszyn (Smithy)  took a visit to Warragul’s Farm World,,64,13,2,
2018-04-14 01:07:39,Eyewatch - Latrobe Police Service Area,131624007022562_861549334030022,https://www.facebook.com/eyewatchlatrobe/posts/861549334030022:0,Photo,Saturday the 14th april another day at Farm World at the he Victoria Police Portable Communication Centre,,24,0,2,
2018-04-14 01:15:40,Eyewatch - Latrobe Police Service Area,131624007022562_861551210696501,https://www.facebook.com/eyewatchlatrobe/posts/861551210696501,Photo,First Constable Tom  O’Day showing Cooper and Twins Violet & Poppy the ropes,,35,0,1,
2018-04-14 01:23:25,Eyewatch - Latrobe Police Service Area,131624007022562_861553520696270,https://www.facebook.com/eyewatchlatrobe/posts/861553520696270:0,Photo,Victoria Police Pipe Band at Farm World Lardner Park,,18,1,2,
2018-04-14 01:26:10,Eyewatch - Latrobe Police Service Area,131624007022562_861554390696183,https://www.facebook.com/eyewatchlatrobe/posts/861554390696183:0,Photo,(Post with no description),,17,1,6,
2018-04-14 01:32:32,Eyewatch - Latrobe Police Service Area,131624007022562_861556144029341,https://www.facebook.com/eyewatchlatrobe/posts/861556144029341,Photo,"Sergeant Ben McWilliam and Constable Frizzy Lizzy helping to keep the crowds in control at Farm World .... really, these kids pal Lizzy 🐑",,33,2,4,
2018-04-14 01:46:29,Eyewatch - Latrobe Police Service Area,131624007022562_861561304028825,https://www.facebook.com/eyewatchlatrobe/posts/861561304028825:0,Photo,Senior Constable Kelly Hicks supporting as many Farm World people as she can 🚜,,15,0,1,
2018-04-14 02:28:19,Eyewatch - Latrobe Police Service Area,131624007022562_861572230694399,https://www.facebook.com/eyewatchlatrobe/posts/861572230694399,Photo,To the love of Farm life from VicPol,,25,0,5,
2018-04-14 02:37:48,Eyewatch - Geelong Police Service Area,118579511604215_1447189585409861,https://www.facebook.com/eyewatchgeelong/posts/1447189585409861:0,Photo,"ARREST - THEFT - SUPERMARKET DRYSDALE  On 18/02/2018, at approx. 7.04 pm, two unknown female offenders have entered a supermarket in Drysdale and have stolen a quantity of items from the store.  As a result of a posting on this page two female offenders from North Geelong and Whittington have been arrested and will be charged over this matter.  Information to Crime Stoppers and the investigating member was fantastic thankyou.",,160,7,13,
2018-04-14 04:51:36,Eyewatch - Greater Shepparton Police Service Area,349554451900294_771712506351151,https://www.facebook.com/eyewatchgreatershepparton/posts/771712506351151,Link,Greater Shepparton's Inspector Troy Hardagon shared important community messages while chatting with Seany on Triple M last week.  https://omny.fm/shows/triple-m-goulburn-valley-breakfast/crime-watch-11-04-18-inspector-troy-hardagon,,9,0,3,
2018-04-14 08:00:23,Eyewatch - Greater Shepparton Police Service Area,349554451900294_771756626346739,https://www.facebook.com/eyewatchgreatershepparton/posts/771756626346739:0,Photo,The Street Rider Night Bus is all ready for its 1am start tonight.  Community Assessibility provided bus fueled and ready. TICK.  Volunteer Driver. TICK.  On board Security Guard. TICK.  Save the mobile number in your phone and the pick up locations and Street Rider will be a great option for your plans to get home safe tonight!,,19,1,2,
2018-04-15 02:00:13,Eyewatch - Knox Police Service Area,597550253628752_1876169069100191,https://www.facebook.com/eyewatchknox/posts/1876169069100191:0,Photo,School is back tomorrow!!! Don't forget to slow down for school zones #roadtozero,,19,1,23,
2018-04-15 08:39:04,Eyewatch - Frankston Police Service Area,132629380243848_957404724432972,https://www.facebook.com/eyewatchfrankston/posts/957404724432972,Status,Police are currently in the Frankston area after a car struck a gas main. There is no risk to the safety of anyone in the area but police are encouraging any residents in the vicinity of Towerhill Road and Tara Drive to stay indoors to avoid gas fumes.,,19,10,11,
2018-04-15 21:45:05,Eyewatch - Knox Police Service Area,597550253628752_1877075172342914,https://www.facebook.com/eyewatchknox/posts/1877075172342914:0,Photo,School is back today! So that means school zone speed limits are back. Do your part to help keep obey the 40km limit,,8,0,3,
2018-04-15 22:37:59,Eyewatch - Ballarat Police Service Area,103131960018479_648428592155477,https://www.facebook.com/eyewatchballarat/posts/648428592155477,Link,(Post with no description),,9,0,32,
2018-04-15 22:52:49,Eyewatch - Cardinia Police Service Area,1755954881336663_1979130509019098,https://www.facebook.com/eyewatchcardinia/posts/1979130509019098:0,Photo,Mums and Dads you made it - school holidays are over! You know what that means...school speed zones are now in force!  vp40485,,29,5,5,
2018-04-15 23:09:20,Eyewatch - Cardinia Police Service Area,1755954881336663_1979133875685428,https://www.facebook.com/eyewatchcardinia/posts/1979133875685428,Status,We hope all our Eyewatch followers had a fantastic weekend! Some great news to start off your Monday - missing 6 month old Layla TULLBERG has been located safe and well.  Thanks for all the shares! 👍👮‍♂️👮‍♀️  vp40485,,62,2,6,
2018-04-16 00:20:58,Eyewatch - Greater Shepparton Police Service Area,349554451900294_772487646273637,https://www.facebook.com/eyewatchgreatershepparton/posts/772487646273637:0,Photo,Robert Farquharson.  A challenging investigation in many ways.   https://video.xx.fbcdn.net/v/t42.9040-2/30336788_781247792073535_1026229212144467968_n.mp4?_nc_cat=0&efg=eyJybHIiOjMwMCwicmxhIjo1MTIsInZlbmNvZGVfdGFnIjoic3ZlX3NkIn0%3D&rl=300&vabr=143&oh=7dd85093018b25574118c95da609167b&oe=5AD5FC0F,,13,3,0,
2018-04-16 01:54:53,Eyewatch - Ballarat Police Service Area,103131960018479_648489432149393,https://www.facebook.com/eyewatchballarat/posts/648489432149393,Photo,(Post with no description),,10,0,5,
